        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -1.0505573e-08
             0.041336205                   1.3599388e-06
              0.08267241                   1.3992542e-06
              0.12400863                   1.4391513e-06
              0.16534482                   1.4762138e-06
              0.20668103                   1.5129166e-06
              0.24801725                   1.5482009e-06
              0.28935346                   1.5810361e-06
              0.33068964                   1.6126194e-06
              0.37202585                   1.6412009e-06
              0.41336206                    1.668151e-06
              0.45469826                    1.691816e-06
               0.4960345                   1.7129548e-06
              0.53737068                    1.730467e-06
              0.57870692                   1.7453693e-06
               0.6200431                   1.7558566e-06
              0.66137928                   1.7632439e-06
              0.70271552                   1.7661085e-06
              0.74405169                   1.7648799e-06
              0.78538793                    1.758583e-06
              0.82672411                   1.7478187e-06
              0.86806035                   1.7315781e-06
              0.90939653                   1.7101092e-06
              0.95073271                   1.6827335e-06
              0.99206901                   1.6494715e-06
               1.0334052                   1.6094182e-06
               1.0747414                      1.5632e-06
               1.1160775                   1.5099747e-06
               1.1574138                   1.4488787e-06
                 1.19875                   1.3811018e-06
               1.2400862                   1.3051456e-06
               1.2814224                   1.2209887e-06
               1.3227586                   1.1287641e-06
               1.3640949                   1.0277575e-06
                1.405431                   9.1777429e-07
               1.4467672                   7.9861729e-07
               1.4881034                   6.6988054e-07
               1.5294397                   5.3188967e-07
               1.5707759                   3.8354679e-07
               1.6121122                   2.2495185e-07
               1.6534482                   5.6311389e-08
               1.6947844                  -1.2317912e-07
               1.7361207                  -3.1327386e-07
               1.7774569                  -5.1428498e-07
               1.8187931                  -7.2644883e-07
               1.8601292                  -9.4984301e-07
               1.9014654                  -1.1847073e-06
               1.9428017                  -1.4307913e-06
                1.984138                  -1.6887284e-06
               2.0254743                   -1.957801e-06
               2.0668104                  -2.2384913e-06
               2.1081464                  -2.5310433e-06
               2.1494827                  -2.8349245e-06
               2.1908188                  -3.1502434e-06
               2.2321551                  -3.4768666e-06
               2.2734914                  -3.8149306e-06
               2.3148277                  -4.1636367e-06
               2.3561637                  -4.5230063e-06
                  2.3975                  -4.8933844e-06
               2.4388363                  -5.2736727e-06
               2.4801724                  -5.6638178e-06
               2.5215085                  -6.0632833e-06
               2.5628448                  -6.4722481e-06
               2.6041811                  -6.8894788e-06
               2.6455171                   -7.314482e-06
               2.6868534                  -7.7473669e-06
               2.7281897                  -8.1867684e-06
                2.769526                  -8.6322079e-06
               2.8108621                  -9.0830445e-06
               2.8521984                  -9.5385767e-06
